n,A,E,dd,d,hh,h,V
3,0,4,0.08,6.00E-05,0.05,7.50E-04,-62.23030101
3,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.314446143
3,0.5,4,0.08,6.00E-05,0.05,7.50E-04,66.8591933
3,0.75,4,0.08,6.00E-05,0.05,7.50E-04,131.4039405
3,1,4,0.08,6.00E-05,0.05,7.50E-04,195.9486876
5,0,4,0.08,6.00E-05,0.05,7.50E-04,-60.73891064
5,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.410401719
5,0.5,4,0.08,6.00E-05,0.05,7.50E-04,65.55971408
5,0.75,4,0.08,6.00E-05,0.05,7.50E-04,128.7090264
5,1,4,0.08,6.00E-05,0.05,7.50E-04,191.8583388
6,0,4,0.08,6.00E-05,0.05,7.50E-04,-60.08235633
6,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.469908271
6,0.5,4,0.08,6.00E-05,0.05,7.50E-04,65.02217287
6,0.75,4,0.08,6.00E-05,0.05,7.50E-04,127.5744375
6,1,4,0.08,6.00E-05,0.05,7.50E-04,190.1267021
7,0,4,0.08,6.00E-05,0.05,7.50E-04,-59.4874151
7,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.523532676
7,0.5,4,0.08,6.00E-05,0.05,7.50E-04,64.53448045
7,0.75,4,0.08,6.00E-05,0.05,7.50E-04,126.5454282
7,1,4,0.08,6.00E-05,0.05,7.50E-04,188.556376
9,0,4,0.08,6.00E-05,0.05,7.50E-04,-58.42141676
9,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.640672288
9,0.5,4,0.08,6.00E-05,0.05,7.50E-04,63.70276133
9,0.75,4,0.08,6.00E-05,0.05,7.50E-04,124.7648504
9,1,4,0.08,6.00E-05,0.05,7.50E-04,185.8269394
10,0,4,0.08,6.00E-05,0.05,7.50E-04,-57.94312904
10,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.699743152
10,0.5,4,0.08,6.00E-05,0.05,7.50E-04,63.34261535
10,0.75,4,0.08,6.00E-05,0.05,7.50E-04,123.9854875
10,1,4,0.08,6.00E-05,0.05,7.50E-04,184.6283597
12,0,4,0.08,6.00E-05,0.05,7.50E-04,-57.06310659
12,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.823151867
12,0.5,4,0.08,6.00E-05,0.05,7.50E-04,62.70941032
12,0.75,4,0.08,6.00E-05,0.05,7.50E-04,122.5956688
12,1,4,0.08,6.00E-05,0.05,7.50E-04,182.4819272
14,0,4,0.08,6.00E-05,0.05,7.50E-04,-56.27175939
14,0.25,4,0.08,6.00E-05,0.05,7.50E-04,2.950497857
14,0.5,4,0.08,6.00E-05,0.05,7.50E-04,62.1727551
14,0.75,4,0.08,6.00E-05,0.05,7.50E-04,121.3950123
14,1,4,0.08,6.00E-05,0.05,7.50E-04,180.6172696
18,0,4,0.08,6.00E-05,0.05,7.50E-04,-54.89377745
18,0.25,4,0.08,6.00E-05,0.05,7.50E-04,3.207839102
18,0.5,4,0.08,6.00E-05,0.05,7.50E-04,61.30945565
18,0.75,4,0.08,6.00E-05,0.05,7.50E-04,119.4110722
18,1,4,0.08,6.00E-05,0.05,7.50E-04,177.5126887
20,0,4,0.08,6.00E-05,0.05,7.50E-04,-54.2531876
20,0.25,4,0.08,6.00E-05,0.05,7.50E-04,3.363693355
20,0.5,4,0.08,6.00E-05,0.05,7.50E-04,60.98057431
20,0.75,4,0.08,6.00E-05,0.05,7.50E-04,118.5974553
20,1,4,0.08,6.00E-05,0.05,7.50E-04,176.2143362
24,0,4,0.08,6.00E-05,0.05,7.50E-04,-53.19365789
24,0.25,4,0.08,6.00E-05,0.05,7.50E-04,3.597835763
24,0.5,4,0.08,6.00E-05,0.05,7.50E-04,60.38932942
24,0.75,4,0.08,6.00E-05,0.05,7.50E-04,117.1808231
24,1,4,0.08,6.00E-05,0.05,7.50E-04,173.9723167
36,0,4,0.08,6.00E-05,0.05,7.50E-04,-50.595032
36,0.25,4,0.08,6.00E-05,0.05,7.50E-04,4.39370043
36,0.5,4,0.08,6.00E-05,0.05,7.50E-04,59.38243286
36,0.75,4,0.08,6.00E-05,0.05,7.50E-04,114.3711653
36,1,4,0.08,6.00E-05,0.05,7.50E-04,169.3598977
40,0,4,0.08,6.00E-05,0.05,7.50E-04,-49.88842327
40,0.25,4,0.08,6.00E-05,0.05,7.50E-04,4.659305549
40,0.5,4,0.08,6.00E-05,0.05,7.50E-04,59.20703437
40,0.75,4,0.08,6.00E-05,0.05,7.50E-04,113.7547632
40,1,4,0.08,6.00E-05,0.05,7.50E-04,168.302492
48,0,4,0.08,6.00E-05,0.05,7.50E-04,-48.54197836
48,0.25,4,0.08,6.00E-05,0.05,7.50E-04,5.256228665
48,0.5,4,0.08,6.00E-05,0.05,7.50E-04,59.05443569
48,0.75,4,0.08,6.00E-05,0.05,7.50E-04,112.8526427
48,1,4,0.08,6.00E-05,0.05,7.50E-04,166.6508497
