n,E,dd,hh,Qsc_pred,invC_pred,FOMS_direct_pred,FOMS_phys_pred,Qsc_true,invC_true,FOMS_direct_true,FOMS_phys_true,Qsc_abs_error,Qsc_rel_error_%,invC_abs_error,invC_rel_error_%,FOMS_direct_abs_error,FOMS_direct_rel_error_%,FOMS_phys_abs_error,FOMS_phys_rel_error_%
3,1,1.2500000000e-01,6.2500000000e-02,2.1422381646e-09,6.7738166886e+11,4.2463600636e-02,4.9577679184e-02,2.1165489307e-09,7.2411869072e+11,5.1734901792e-02,5.1734901792e-02,2.5689233897e-11,1.2137321053e+00,4.6737021854e+10,6.4543316521e+00,9.2713011565e-03,1.7920786230e+01,2.1572226082e-03,4.1697626428e+00
5,1,1.2500000000e-01,6.2500000000e-02,1.7677594943e-09,5.6062135501e+11,3.8312606514e-02,4.6567399097e-02,1.7520090545e-09,5.8635557434e+11,4.7840944591e-02,4.7840944591e-02,1.5750439795e-11,8.9899305907e-01,2.5734219331e+10,4.3888419344e+00,9.5283380776e-03,1.9916701393e+01,1.2735454940e-03,2.6620408625e+00
6,1,1.2500000000e-01,6.2500000000e-02,1.6509877909e-09,5.2538317210e+11,3.7134267390e-02,4.5678425593e-02,1.6069688281e-09,5.4741286946e+11,4.5089679600e-02,4.5089679600e-02,4.4018962779e-11,2.7392543034e+00,2.2029697365e+10,4.0243294585e+00,7.9554122103e-03,1.7643532358e+01,5.8874599255e-04,1.3057222801e+00
7,1,1.2500000000e-01,6.2500000000e-02,1.5656390628e-09,4.9878804070e+11,3.6510087550e-02,4.5498110221e-02,1.4808546250e-09,5.1818043572e+11,4.2286320270e-02,4.2286320270e-02,8.4784437866e-11,5.7253721220e+00,1.9392395020e+10,3.7424020058e+00,5.7762327205e-03,1.3659814057e+01,3.2117899512e-03,7.5953403623e+00
9,1,1.2500000000e-01,6.2500000000e-02,1.4407176563e-09,4.6513055334e+11,3.5517282784e-02,4.6192461413e-02,1.2713610594e-09,4.7661724437e+11,3.6859213339e-02,3.6859213339e-02,1.6935659686e-10,1.3320889106e+01,1.1486691023e+10,2.4100452007e+00,1.3419305549e-03,3.6406923353e+00,9.3332480745e-03,2.5321343645e+01
10,1,1.2500000000e-01,6.2500000000e-02,1.3887281325e-09,4.5206408397e+11,3.5031720996e-02,4.6347942304e-02,1.1840098743e-09,4.6125770767e+11,3.4375599088e-02,3.4375599088e-02,2.0471825822e-10,1.7290249234e+01,9.1936237065e+09,1.9931642450e+00,6.5612190818e-04,1.9086850138e+00,1.1972343216e-02,3.4828027828e+01
12,1,1.2500000000e-01,6.2500000000e-02,1.2934188165e-09,4.3302669517e+11,3.3851038665e-02,4.6213649108e-02,1.0342381242e-09,4.3713741500e+11,2.9828835699e-02,2.9828835699e-02,2.5918069234e-10,2.5060059796e+01,4.1107198309e+09,9.4037245266e-01,4.0222029655e-03,1.3484277449e+01,1.6384813408e-02,5.4929443354e+01
14,1,1.2500000000e-01,6.2500000000e-02,1.1313959769e-09,4.2186784768e+11,3.2246481627e-02,4.0191082561e-02,9.1100917460e-10,4.1900499246e+11,2.5881457244e-02,2.5881457244e-02,2.2038680231e-10,2.4191501958e+01,2.8628552211e+09,6.8325086160e-01,6.3650243832e-03,2.4592990739e+01,1.4309625317e-02,5.5289102085e+01
18,1,1.2500000000e-01,6.2500000000e-02,8.4929963062e-10,4.0622938522e+11,2.8218597174e-02,2.8038947399e-02,7.2101470346e-10,3.9319221863e+11,1.9559675832e-02,1.9559675832e-02,1.2828492717e-10,1.7792276156e+01,1.3037166590e+10,3.3157234485e+00,8.6589213421e-03,4.4269247694e+01,8.4792715671e-03,4.3350777590e+01
20,1,1.2500000000e-01,6.2500000000e-02,7.4435224651e-10,4.0174413414e+11,2.6177525520e-02,2.3666417939e-02,6.4729017028e-10,3.8373061198e+11,1.7094265954e-02,1.7094265954e-02,9.7062076230e-11,1.4995141389e+01,1.8013522163e+10,4.6943146054e+00,9.0832595661e-03,5.3136294887e+01,6.5721519848e-03,3.8446529394e+01
24,1,1.2500000000e-01,6.2500000000e-02,5.8785204482e-10,3.9391949619e+11,2.0587427542e-02,1.7368038712e-02,5.2860825979e-10,3.6900795145e+11,1.3155605656e-02,1.3155605656e-02,5.9243785025e-11,1.1207502707e+01,2.4911544738e+10,6.7509506610e+00,7.4318218860e-03,5.6491674199e+01,4.2124330559e-03,3.2020061761e+01
36,1,1.2500000000e-01,6.2500000000e-02,3.5327263337e-10,3.5197098394e+11,9.9176699296e-03,8.4066964763e-03,3.1459941007e-10,3.4312506278e+11,6.4993023443e-03,6.4993023443e-03,3.8673223296e-11,1.2292846731e+01,8.8459211542e+09,2.5780457663e+00,3.4183675853e-03,5.2595915749e+01,1.9073941320e-03,2.9347675042e+01
40,1,1.2500000000e-01,6.2500000000e-02,3.0319821653e-10,3.4228777779e+11,7.9901944846e-03,6.6911482258e-03,2.7042664747e-10,3.3785455968e+11,5.2539354768e-03,5.2539354768e-03,3.2771569059e-11,1.2118468858e+01,4.4332181150e+09,1.3121676141e+00,2.7362590078e-03,5.2080179133e+01,1.4372127490e-03,2.7354975245e+01
48,1,1.2500000000e-01,6.2500000000e-02,2.3405144489e-10,3.2905258598e+11,5.5252569728e-03,4.5996544752e-03,2.0520672272e-10,3.2985169657e+11,3.5443705489e-03,3.5443705489e-03,2.8844722176e-11,1.4056421639e+01,7.9911058423e+08,2.4226359681e-01,1.9808864238e-03,5.5888242961e+01,1.0552839263e-03,2.9773521468e+01
