scenario,phase_n,phase_hh,phase_foms,phase_f_charge,mid_slice_hh,slice_n,slice_hh,q2_norm,invc_norm,foms_norm,slice_regime
low_E_mid_d,2.0,0.053094487138606344,0.04754234850406647,,0.01995565131181387,,,,,,
mid_E_mid_d,4.0,0.03831671385187284,0.031376831233501434,0.4774313271045685,0.01995565131181387,,,,,,
high_E_mid_d,64.0,0.00390625,0.021527128294110298,,0.01995565131181387,,,,,,
mid_E_mid_d,,,,,,2.0,0.01995565131181387,1.0,1.0,0.8690825700759888,-1.0
mid_E_mid_d,,,,,,4.0,0.01995565131181387,0.9191054105758667,0.7271899580955505,0.9575749635696411,0.0
mid_E_mid_d,,,,,,8.0,0.01995565131181387,0.7967194318771362,0.5020602345466614,1.0,0.0
mid_E_mid_d,,,,,,16.0,0.01995565131181387,0.6355206370353699,0.28902050852775574,0.9262951016426086,0.0
mid_E_mid_d,,,,,,32.0,0.01995565131181387,0.4145773947238922,0.09366194158792496,0.6744369864463806,1.0
mid_E_mid_d,,,,,,64.0,0.01995565131181387,0.0,0.0,0.0,1.0
