k_neighbors,dominance_threshold,charge_pct,cap_pct,mixed_pct,charge_cap_ratio
20,0.55,67.00,9.00,24.00,7.44
20,0.58,59.00,6.75,34.25,8.74
20,0.62,50.45,5.75,43.80,8.77
20,0.65,41.35,5.35,53.30,7.73
20,0.70,24.60,3.95,71.45,6.23
30,0.55,69.80,8.00,22.20,8.72
30,0.58,62.85,5.95,31.20,10.56
30,0.62,52.80,5.35,41.85,9.87
30,0.65,42.50,5.00,52.50,8.50
30,0.70,24.10,3.65,72.25,6.60
50,0.55,72.55,6.95,20.50,10.44
50,0.58,67.15,6.00,26.85,11.19
50,0.62,58.60,5.30,36.10,11.06
50,0.65,51.35,4.75,43.90,10.81
50,0.70,35.30,3.15,61.55,11.21
75,0.55,75.25,7.00,17.75,10.75
75,0.58,70.75,5.80,23.45,12.20
75,0.62,63.35,5.15,31.50,12.30
75,0.65,54.80,4.40,40.80,12.45
75,0.70,42.20,2.85,54.95,14.81
100,0.55,76.85,6.65,16.50,11.56
100,0.58,71.90,5.75,22.35,12.50
100,0.62,65.10,4.90,30.00,13.29
100,0.65,59.30,4.20,36.50,14.12
100,0.70,49.00,2.45,48.55,20.00
